alt,caption,commentsCount,dimensionsHeight,dimensionsWidth,displayUrl,firstComment,hashtags/0,hashtags/1,hashtags/2,hashtags/3 ,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11," ""hashtags/12""",hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags /20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28 ,hashtags/29,id,likesCount,locationId,locationName,mentions/0,mentions/1,mentions/2,mentions/3,ownerFullName, ownerId,ownerUsername,position,productType,queryTag,shortCode,timestamp,type,url,"videoViewCountvideoViewCount""videoViewCount"""
,"Huwei Ring of Yunlin County銆?# Thunder Puppet Show-#Suhuazhen""] *New Landmark of Huwei Town*""",0,612,1080,https://instagram.fgba1- 1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/271875241_962560327710034_1401311766485001982_n.jpg?_nc_ht=instagram.fgba1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Wl8fZkoPel8AX9tz6-a&edm=ABZsPhsBAAAA&ccb=7- 4&oh=00_AT9l6dbqvCzjLw91t4wNuwT1jj5eHjeeleU-B7Wp2keQ3A&oe=61E3F531&_nc_sid=4efc9f,,"Thunderbolt Puppet Show-"",Su Huizhen""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
"Photo by Jiajun Chen on January 14, 2022. May be an image of one or more people and indoor.",This time the serial hell is over!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The coolest thing about doing a show is to send it to your idol to come to the show!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My idol is quite different!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My idol is really even! It's a puppet!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's true! It's a thunderbolt brother!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks for this movie release! facilitated this collaboration!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The theme of the voice actor that I have been wanting to do for more than 2 years in the industry""Voice""Out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks cannonWu JifuBring on such a great show!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
During the rehearsal, all the artists, students and staff were stunned!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because this is the first time for everyone to see the performance of the puppet unity!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the rehearsal is over, everyone feels incredible! Surprised again and again!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official recording time! The host was also stunned by the performance of the unity of the puppets!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank you very much for the PR of Perak CompanyDolly and the assistance of Zi Yang from the acting agency!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The most grateful is! Ray also knows mewhat are you thinkingWhat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Know that I have asked the public relations wishing puppet master to ask for Brother Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At that time, the public relations were contacted by phoneIt can be a bit difficult to say PR when I'm going to specify!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After all, the movie promotion period! Everyone is busy!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the end, my wish came true! Really thank you Mrs. Thanks a lot too!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank you to all the colleagues who helped this time!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True if you don't know Su!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you don't know puppet show!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you want to rekindle your passion for puppetry!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
